emp_name,hours_worked,hourly_rate_emp,total_wage,total_tips,hourly_rate_avg,tips_avg,source,quarterly_salary,hours_per_week,calculated_salary,delta,wages_outlier_flag1,wages_outlier_flag2,wages_outlier_flag3,wages_outlier_flag4,wages_outlier_flag5,wages_outlier_flag6,wages_outlier_flag7,hours_outlier_flag1,hours_outlier_flag2,total_wages_outlier_flag1,total_tips_outlier_flag1,hourly_rate_avg_outlier_flag1,tips_avg_outlier_flag1,missing_flag1_total_wages,missing_flag2_wage_rate,missing_flag3_hours_worked
TAMAKIN INC,197.0,16.61,3272.0,2282.0,28.19,11.58,ESSP,5554.0,16.416666666666668,3272.17,0.17000000000007276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMAKIN INC,126.0,15.0,1890.0,2534.0,35.11,20.11,ESSP,4424.0,10.5,1890.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMAKIN INC,560.0,14.73,8250.0,11025.0,34.42,19.69,ESSP,19275.0,46.666666666666664,8248.800000000001,1.1999999999989086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMAKIN INC,349.0,15.0,5235.0,4512.0,27.93,12.93,ESSP,9747.0,29.083333333333332,5235.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMAKIN INC,183.0,12.0,2196.0,6222.0,46.0,34.0,ESSP,8418.0,15.25,2196.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMAKIN INC,560.0,16.25,9100.0,2261.0,20.29,4.04,ESSP,11361.0,46.666666666666664,9100.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMAKIN INC,560.0,16.0,8960.0,2380.0,20.25,4.25,ESSP,11340.0,46.666666666666664,8960.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMAKIN INC,349.0,18.0,6282.0,2682.0,25.68,7.68,ESSP,8964.0,29.083333333333332,6282.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BILLIKEN CORPORATION,68.0,6.25,424.0,851.0,1.88,1.25,ESSP,1275.0,56.666666666666664,425.0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
BILLIKEN CORPORATION,158.0,6.5,1102.0,2168.0,20.7,13.72,ESSP,3270.0,13.166666666666666,1027.0,75.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BILLIKEN CORPORATION,214.0,6.0,1343.0,1775.0,14.57,8.29,ESSP,3118.0,17.833333333333332,1284.0,59.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BILLIKEN CORPORATION,655.0,5.5,4451.0,18830.0,35.54,28.75,ESSP,23281.0,54.583333333333336,3602.5,848.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BILLIKEN CORPORATION,230.0,6.25,146.0,279.0,1.85,1.21,ESSP,425.0,19.166666666666668,1437.5,1291.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BILLIKEN CORPORATION,294.0,6.0,1765.0,2270.0,13.72,7.72,ESSP,4035.0,24.5,1764.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BILLIKEN CORPORATION,76.0,5.5,417.0,1588.0,2.64,2.09,ESSP,2005.0,63.333333333333336,418.0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
BILLIKEN CORPORATION,150.0,6.25,95.0,181.0,1.84,1.21,ESSP,276.0,12.5,937.5,842.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BILLIKEN CORPORATION,440.0,6.0,264.0,378.0,1.46,0.86,ESSP,642.0,36.666666666666664,2640.0,2376.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BILLIKEN CORPORATION,173.0,6.0,1038.0,1321.0,13.64,7.64,ESSP,2359.0,14.416666666666666,1038.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BILLIKEN CORPORATION,88.0,6.25,604.0,1043.0,1.87,1.19,ESSP,1647.0,73.33333333333333,550.0,54.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
BILLIKEN CORPORATION,132.0,6.0,792.0,943.0,13.14,7.14,ESSP,1735.0,11.0,792.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BILLIKEN CORPORATION,308.0,6.5,2071.0,5430.0,24.35,17.63,ESSP,7501.0,25.666666666666668,2002.0,69.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BILLIKEN CORPORATION,104.0,5.5,757.0,2299.0,29.38,22.11,ESSP,3056.0,8.666666666666666,572.0,185.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BILLIKEN CORPORATION,72.0,6.25,452.0,906.0,1.89,1.26,ESSP,1358.0,60.0,450.0,2.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
BILLIKEN CORPORATION,377.0,6.0,2313.0,2924.0,13.89,7.76,ESSP,5237.0,31.416666666666668,2262.0,51.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BILLIKEN CORPORATION,81.0,6.25,512.0,962.0,1.82,1.19,ESSP,1474.0,67.5,506.25,5.75,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
BILLIKEN CORPORATION,81.0,8.0,656.0,1027.0,2.08,1.27,ESSP,1683.0,67.5,648.0,8.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
BILLIKEN CORPORATION,400.0,6.25,249.0,506.0,1.89,1.27,ESSP,755.0,33.333333333333336,2500.0,2251.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BILLIKEN CORPORATION,476.0,5.5,2685.0,15336.0,37.86,32.22,ESSP,18021.0,39.666666666666664,2618.0,67.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SPRING VALLEY ENTERPRISES,100.0,5.0,498.0,3092.0,35.9,30.92,ESSP,3590.0,8.333333333333334,500.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPRING VALLEY ENTERPRISES,429.0,5.0,2147.0,10680.0,29.9,24.9,ESSP,12827.0,35.75,2145.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SPRING VALLEY ENTERPRISES,262.0,5.0,1312.0,6580.0,30.12,25.11,ESSP,7892.0,21.833333333333332,1310.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SPRING VALLEY ENTERPRISES,145.0,5.0,727.0,3427.0,28.65,23.63,ESSP,4154.0,12.083333333333334,725.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SPRING VALLEY ENTERPRISES,436.0,5.0,2179.0,9650.0,27.13,22.13,ESSP,11829.0,36.333333333333336,2180.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPRING VALLEY ENTERPRISES,309.0,5.0,1543.0,8894.0,33.78,28.78,ESSP,10437.0,25.75,1545.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITALIAN KITCHEN,70.5,6.0,5501.0,17044.0,31.98,24.18,ESSP,22545.0,58.75,423.0,5078.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
