"","district","branch","yr_applied","mo_applied","product","population","poverty","price","count","loan_per_branch","agg_date","pop_wt","weighted_loans_bybranchprod","weighted_count_bybranchprod","hml_cookstove","hml_gobargas","hml_jumbostove","hml_solarlight"
"251","BangaloreRural","Devanahalli",2018,4,"CookStove",146705,15.7,264.5,13.5,3570.75,"2018-04-01",0.4141428,1478.8,5.590927,"Medium","Low","High","Low"
"252","BangaloreRural","Nelamangala",2017,9,"CookStove",163090,15.7,264.5,38.5,10183.25,"2017-09-01",0.460397,4688.338,17.72528,"Medium","Low","High","Low"
"253","BangaloreRural","Devanahalli",2017,12,"CookStove",146705,15.7,264.5,21.5,5686.75,"2017-12-01",0.4141428,2355.126,8.904069,"Medium","Low","High","Low"
"254","BangaloreRural","Nelamangala",2016,2,"SolarLight",163090,15.7,291,1,291,"2016-02-01",0.460397,133.9755,0.460397,"Medium","Low","High","Low"
"255","BangaloreRural","Doddaballapur",2018,7,"CookStove",198546,15.7,396,87,34452,"2018-07-01",0.560488,19309.93,48.76245,"Medium","Low","High","Low"
"256","BangaloreRural","Nelamangala",2015,1,"CookStove",163090,15.7,161,14,2254,"2015-01-01",0.460397,1037.735,6.445558,"Medium","Low","High","Low"
"257","BangaloreRural","Hosakote",2014,9,"GobarGasPlant",213838,15.7,10,1,10,"2014-09-01",0.6036567,6.036567,0.6036567,"Medium","Low","High","Low"
"258","BangaloreRural","Hosakote",2018,8,"CookStove",213838,15.7,396,18,7128,"2018-08-01",0.6036567,4302.865,10.86582,"Medium","Low","High","Low"
"259","BangaloreRural","Hosakote",2018,3,"CookStove",213838,15.7,264.5,122.5,32401.25,"2018-03-01",0.6036567,19559.23,73.94795,"Medium","Low","High","Low"
"260","BangaloreRural","Devanahalli",2018,1,"SolarLight",146705,15.7,50,2,100,"2018-01-01",0.4141428,41.41428,0.8282855,"Medium","Low","High","Low"
"261","BangaloreRural","Hosakote",2018,1,"SolarLight",213838,15.7,198,1,198,"2018-01-01",0.6036567,119.524,0.6036567,"Medium","Low","High","Low"
"262","BangaloreRural","Hosakote",2015,2,"SolarLight",213838,15.7,287,4,1148,"2015-02-01",0.6036567,692.9979,2.414627,"Medium","Low","High","Low"
"263","BangaloreRural","Hosakote",2014,8,"SolarLight",213838,15.7,438.2,4,1752.8,"2014-08-01",0.6036567,1058.089,2.414627,"Medium","Low","High","Low"
"264","BangaloreRural","Hosakote",2017,12,"CookStove",213838,15.7,264.5,9.5,2512.75,"2017-12-01",0.6036567,1516.838,5.734739,"Medium","Low","High","Low"
"265","BangaloreRural","Nelamangala",2014,9,"GobarGasPlant",163090,15.7,10,3,30,"2014-09-01",0.460397,13.81191,1.381191,"Medium","Low","High","Low"
"266","BangaloreRural","Devanahalli",2018,2,"SolarLight",146705,15.7,256.6667,1,256.6667,"2018-02-01",0.4141428,106.2966,0.4141428,"Medium","Low","High","Low"
"267","BangaloreRural","Nelamangala",2015,1,"GobarGasPlant",163090,15.7,688,1,688,"2015-01-01",0.460397,316.7531,0.460397,"Medium","Low","High","Low"
"268","BangaloreRural","Hosakote",2017,1,"CookStove",213838,15.7,278.5,16,4456,"2017-01-01",0.6036567,2689.894,9.658507,"Medium","Low","High","Low"
"269","BangaloreRural","Nelamangala",2014,10,"SolarLight",163090,15.7,287,1,287,"2014-10-01",0.460397,132.1339,0.460397,"Medium","Low","High","Low"
