branch,district,yr_applied,mo_applied,product,population,poverty,price,count,loan_per_branch,agg_date,pop_wt,weighted_loans_bybranchprod,weighted_count_bybranchprod
"Huvinahadagali","Bellary",2014,12,"SolarLight",27967,40.8,10,2,20,"2014-12-01",.0789498,1.578996,.1578996
"Huvinahadagali","Bellary",2018,9,"SolarLight",27967,40.8,940,1,940,"2018-09-01",.0789498,74.21281,.0789498
"Huvinahadagali","Bellary",2015,1,"SolarLight",27967,40.8,235,2,470,"2015-01-01",.0789498,37.10641,.1578996
"Huvinahadagali","Bellary",2018,7,"CookStove",27967,40.8,396,15,5940,"2018-07-01",.0789498,468.9618,1.184247
"Huvinahadagali","Bellary",2014,10,"SolarLight",27967,40.8,10,3,30,"2014-10-01",.0789498,2.368494,.2368494
"Huvinahadagali","Bellary",2015,1,"GobarGasPlant",27967,40.8,254,1.5,381,"2015-01-01",.0789498,30.07987,.1184247
"Huvinahadagali","Bellary",2017,11,"SolarLight",27967,40.8,909,1,909,"2017-11-01",.0789498,71.76537,.0789498
"Huvinahadagali","Bellary",2014,9,"CookStove",27967,40.8,301.5,21.5,6482.25,"2014-09-01",.0789498,511.7723,1.697421
"Huvinahadagali","Bellary",2014,9,"SolarLight",27967,40.8,934,1,934,"2014-09-01",.0789498,73.73911,.0789498
"Huvinahadagali","Bellary",2014,11,"SolarLight",27967,40.8,10,2,20,"2014-11-01",.0789498,1.578996,.1578996
"Indi","Bijapur",2018,9,"SolarLight",382952,23.1,365.6667,1,365.6667,"2018-09-01",1.081059,395.3073,1.081059
"Indi","Bijapur",2018,9,"GreenwayJumboStoveGJS1",382952,23.1,396,22,8712,"2018-09-01",1.081059,9418.188,23.7833
"Jagalur","Davanagere",2014,11,"GobarGasPlant",154565,23.3,349,3.5,1221.5,"2014-11-01",.4363312,532.9786,1.527159
"Jagalur","Davanagere",2015,1,"GobarGasPlant",154565,23.3,312.6667,1.333333,416.8889,"2015-01-01",.4363312,181.9017,.581775
"Jagalur","Davanagere",2018,7,"CookStove",154565,23.3,396,67,26532,"2018-07-01",.4363312,11576.74,29.23419
"Jagalur","Davanagere",2018,9,"GreenwayJumboStoveGJS1",154565,23.3,396,36,14256,"2018-09-01",.4363312,6220.338,15.70792
"Jagalur","Davanagere",2012,10,"GobarGasPlant",154565,23.3,688,1,688,"2012-10-01",.4363312,300.1959,.4363312
"Jagalur","Davanagere",2018,8,"CookStove",154565,23.3,396,67,26532,"2018-08-01",.4363312,11576.74,29.23419
"Jagalur","Davanagere",2014,9,"SolarLight",154565,23.3,10,2,20,"2014-09-01",.4363312,8.726625,.8726625
"Jagalur","Davanagere",2014,3,"SolarLight",154565,23.3,498,1,498,"2014-03-01",.4363312,217.293,.4363312
"Jagalur","Davanagere",2018,8,"GreenwayJumboStoveGJS1",154565,23.3,396,25,9900,"2018-08-01",.4363312,4319.679,10.90828
"Jagalur","Davanagere",2015,3,"GobarGasPlant",154565,23.3,349,3.5,1221.5,"2015-03-01",.4363312,532.9786,1.527159
"Jagalur","Davanagere",2015,2,"SolarLight",154565,23.3,240,2,480,"2015-02-01",.4363312,209.439,.8726625
"Jagalur","Davanagere",2014,8,"GobarGasPlant",154565,23.3,422,1,422,"2014-08-01",.4363312,184.1318,.4363312
"Jagalur","Davanagere",2014,6,"GobarGasPlant",154565,23.3,10,1,10,"2014-06-01",.4363312,4.363313,.4363312
"Jagalur","Davanagere",2014,1,"GobarGasPlant",154565,23.3,10,2,20,"2014-01-01",.4363312,8.726625,.8726625
"Jagalur","Davanagere",2018,9,"SolarLight",154565,23.3,435,2,870,"2018-09-01",.4363312,379.6082,.8726625
"Jagalur","Davanagere",2014,12,"SolarLight",154565,23.3,10,1,10,"2014-12-01",.4363312,4.363313,.4363312
"Jagalur","Davanagere",2018,6,"SolarLight",154565,23.3,460,1,460,"2018-06-01",.4363312,200.7124,.4363312
"Jagalur","Davanagere",2015,3,"SolarLight",154565,23.3,240,1,240,"2015-03-01",.4363312,104.7195,.4363312
"Jagalur","Davanagere",2014,9,"CookStove",154565,23.3,301.5,104,31356,"2014-09-01",.4363312,13681.6,45.37845
"Jagalur","Davanagere",2013,12,"GobarGasPlant",154565,23.3,10,1,10,"2013-12-01",.4363312,4.363313,.4363312
"Jagalur","Davanagere",2014,10,"GobarGasPlant",154565,23.3,10,1,10,"2014-10-01",.4363312,4.363313,.4363312
"Jagalur","Davanagere",2015,2,"GobarGasPlant",154565,23.3,688,1,688,"2015-02-01",.4363312,300.1959,.4363312
"Jagalur","Davanagere",2015,6,"SolarLight",154565,23.3,346,1,346,"2015-06-01",.4363312,150.9706,.4363312
"Jagalur","Davanagere",2017,7,"SolarLight",154565,23.3,260.6667,1,260.6667,"2017-07-01",.4363312,113.737,.4363312
"Jagalur","Davanagere",2015,1,"SolarLight",154565,23.3,240,1,240,"2015-01-01",.4363312,104.7195,.4363312
"Jagalur","Davanagere",2017,12,"SolarLight",154565,23.3,153,1,153,"2017-12-01",.4363312,66.75868,.4363312
"Jagalur","Davanagere",2015,4,"CookStove",154565,23.3,161,9,1449,"2015-04-01",.4363312,632.244,3.926981
"Jagalur","Davanagere",2014,7,"CookStove",154565,23.3,301.5,213.5,64370.25,"2014-07-01",.4363312,28086.75,93.15672
"Jagalur","Davanagere",2016,12,"SolarLight",154565,23.3,159,3.333333,530,"2016-12-01",.4363312,231.2556,1.454437
"Jagalur","Davanagere",2014,3,"GobarGasPlant",154565,23.3,349,1.5,523.5,"2014-03-01",.4363312,228.4194,.6544968
"Jagalur","Davanagere",2014,5,"GobarGasPlant",154565,23.3,240,1,240,"2014-05-01",.4363312,104.7195,.4363312
"Jagalur","Davanagere",2017,3,"SolarLight",154565,23.3,304.5,1,304.5,"2017-03-01",.4363312,132.8629,.4363312
"Jagalur","Davanagere",2014,11,"CookStove",154565,23.3,301.5,29.5,8894.25,"2014-11-01",.4363312,3880.839,12.87177
