branch,district,yr_applied,mo_applied,product,population,poverty,price,count,loan_per_branch,agg_date,pop_wt,weighted_loans_bybranchprod,weighted_count_bybranchprod
"Devanahalli","BangaloreRural",2018,8,"SolarLight",146705,15.7,152,7.5,1140,"2018-08-01",.4141428,472.1227,3.106071
"Devanahalli","BangaloreRural",2017,6,"SolarLight",146705,15.7,940,2,1880,"2017-06-01",.4141428,778.5884,.8282855
"Devanahalli","BangaloreRural",2017,2,"CookStove",146705,15.7,278.5,46.5,12950.25,"2017-02-01",.4141428,5363.252,19.25764
"Devanahalli","BangaloreRural",2017,10,"SolarLight",146705,15.7,264,4,1056,"2017-10-01",.4141428,437.3347,1.656571
"Devanahalli","BangaloreRural",2018,7,"CookStove",146705,15.7,396,191,75636,"2018-07-01",.4141428,31324.1,79.10126
"Devanahalli","BangaloreRural",2017,11,"CookStove",146705,15.7,264.5,3,793.5,"2017-11-01",.4141428,328.6223,1.242428
"Devanahalli","BangaloreRural",2017,12,"SolarLight",146705,15.7,157,3,471,"2017-12-01",.4141428,195.0612,1.242428
"Devanahalli","BangaloreRural",2017,5,"CookStove",146705,15.7,264.5,11,2909.5,"2017-05-01",.4141428,1204.948,4.555571
"Devanahalli","BangaloreRural",2016,12,"CookStove",146705,15.7,278.5,40.5,11279.25,"2016-12-01",.4141428,4671.22,16.77278
"Devanahalli","BangaloreRural",2018,2,"CookStove",146705,15.7,264.5,2.5,661.25,"2018-02-01",.4141428,273.8519,1.035357
"Devanahalli","BangaloreRural",2016,6,"CookStove",146705,15.7,161,5,805,"2016-06-01",.4141428,333.3849,2.070714
"Devdurga","Raichur",2015,4,"SolarLight",251677,37.7,240,1,240,"2015-04-01",.7104748,170.514,.7104748
"Devdurga","Raichur",2015,3,"SolarLight",251677,37.7,490,1.333333,653.3333,"2015-03-01",.7104748,464.1769,.9472998
"Dharwad","Dharwad",2014,10,"GobarGasPlant",232765,34,442,3.333333,1473.333,"2014-10-01",.657087,968.1081,2.19029
"Dharwad","Dharwad",2014,9,"CookStove",232765,34,433,199,86167,"2014-09-01",.657087,56619.21,130.7603
"Dharwad","Dharwad",2014,10,"SolarLight",232765,34,393.5,2,787,"2014-10-01",.657087,517.1274,1.314174
"Dharwad","Dharwad",2014,10,"CookStove",232765,34,301.5,177.5,53516.25,"2014-10-01",.657087,35164.83,116.6329
"Dharwad","Dharwad",2017,12,"SolarLight",232765,34,319.4,2.8,894.32,"2017-12-01",.657087,587.646,1.839843
"Dharwad","Dharwad",2018,4,"SolarLight",232765,34,589.5,1,589.5,"2018-04-01",.657087,387.3528,.657087
"Dharwad","Dharwad",2013,2,"SolarLight",232765,34,868,5,4340,"2013-02-01",.657087,2851.757,3.285435
"Dharwad","Dharwad",2016,2,"SolarLight",232765,34,145,1.5,217.5,"2016-02-01",.657087,142.9164,.9856304
"Dharwad","Dharwad",2016,6,"SolarLight",232765,34,157,1,157,"2016-06-01",.657087,103.1627,.657087
"Dharwad","Dharwad",2017,7,"SolarLight",232765,34,95.5,1.5,143.25,"2017-07-01",.657087,94.1277,.9856304
"Dharwad","Dharwad",2013,5,"SolarLight",232765,34,868,10,8680,"2013-05-01",.657087,5703.515,6.570869
"Dharwad","Dharwad",2017,3,"SolarLight",232765,34,194.75,4,779,"2017-03-01",.657087,511.8707,2.628348
"Dharwad","Dharwad",2016,8,"SolarLight",232765,34,498,1,498,"2016-08-01",.657087,327.2293,.657087
"Dharwad","Dharwad",2018,6,"CookStove",232765,34,396,34,13464,"2018-06-01",.657087,8847.019,22.34096
"Dharwad","Dharwad",2015,9,"SolarLight",232765,34,118,3,354,"2015-09-01",.657087,232.6088,1.971261
"Dharwad","Dharwad",2015,1,"GobarGasPlant",232765,34,619,1,619,"2015-01-01",.657087,406.7368,.657087
"Dharwad","Dharwad",2016,7,"SolarLight",232765,34,199,2,398,"2016-07-01",.657087,261.5206,1.314174
"Dharwad","Dharwad",2015,8,"SolarLight",232765,34,280,1,280,"2015-08-01",.657087,183.9843,.657087
"Dharwad","Dharwad",2018,8,"GreenwayJumboStoveGJS1",232765,34,396,1,396,"2018-08-01",.657087,260.2064,.657087
"Dharwad","Dharwad",2018,1,"SolarLight",232765,34,201,1,201,"2018-01-01",.657087,132.0745,.657087
"Dharwad","Dharwad",2017,11,"SolarLight",232765,34,153,1,153,"2017-11-01",.657087,100.5343,.657087
"Dharwad","Dharwad",2014,11,"CookStove",232765,34,161,210,33810,"2014-11-01",.657087,22216.11,137.9883
"Dharwad","Dharwad",2017,9,"SolarLight",232765,34,193.7143,3.571429,691.8367,"2017-09-01",.657087,454.5969,2.346739
"Dharwad","Dharwad",2018,9,"GreenwayJumboStoveGJS1",232765,34,396,155,61380,"2018-09-01",.657087,40332,101.8485
"Dharwad","Dharwad",2015,10,"SolarLight",232765,34,934,1,934,"2015-10-01",.657087,613.7192,.657087
"Dharwad","Dharwad",2018,2,"CookStove",232765,34,133,23,3059,"2018-02-01",.657087,2010.029,15.113
"Dharwad","Dharwad",2015,1,"SolarLight",232765,34,274,1,274,"2015-01-01",.657087,180.0418,.657087
"Dharwad","Dharwad",2015,6,"SolarLight",232765,34,282.5,1,282.5,"2015-06-01",.657087,185.6271,.657087
"Dharwad","Dharwad",2013,4,"SolarLight",232765,34,506.3333,1,506.3333,"2013-04-01",.657087,332.705,.657087
"Dharwad","Dharwad",2015,7,"SolarLight",232765,34,445,1.333333,593.3333,"2015-07-01",.657087,389.8716,.8761159
"Dharwad","Dharwad",2018,8,"SolarLight",232765,34,67.33334,1.666667,112.2222,"2018-08-01",.657087,73.73975,1.095145
"Dharwad","Dharwad",2014,9,"SolarLight",232765,34,287,2,574,"2014-09-01",.657087,377.1679,1.314174
"Dharwad","Dharwad",2013,3,"SolarLight",232765,34,868,4,3472,"2013-03-01",.657087,2281.406,2.628348
"Dharwad","Dharwad",2013,11,"SolarLight",232765,34,422,1,422,"2013-11-01",.657087,277.2907,.657087
"Dharwad","Dharwad",2017,12,"CookStove",232765,34,161,5,805,"2017-12-01",.657087,528.955,3.285435
"Dharwad","Dharwad",2014,12,"CookStove",232765,34,301.5,72.5,21858.75,"2014-12-01",.657087,14363.1,47.6388
"Dharwad","Dharwad",2016,4,"SolarLight",232765,34,555.5,1,555.5,"2016-04-01",.657087,365.0118,.657087
"Dharwad","Dharwad",2015,5,"SolarLight",232765,34,934,1,934,"2015-05-01",.657087,613.7192,.657087
"Dharwad","Dharwad",2016,12,"SolarLight",232765,34,280.6667,7.555555,2120.593,"2016-12-01",.657087,1393.414,4.964657
"Dharwad","Dharwad",2014,9,"GobarGasPlant",232765,34,526,2.5,1315,"2014-09-01",.657087,864.0693,1.642717
"Dharwad","Dharwad",2018,8,"CookStove",232765,34,396,87,34452,"2018-08-01",.657087,22637.96,57.16656
"Dharwad","Dharwad",2014,6,"SolarLight",232765,34,10,1,10,"2014-06-01",.657087,6.570869,.657087
"Dharwad","Dharwad",2018,9,"SolarLight",232765,34,154,4.333333,667.3333,"2018-09-01",.657087,438.496,2.847377
"Dharwad","Dharwad",2015,3,"SolarLight",232765,34,274,2,548,"2015-03-01",.657087,360.0836,1.314174
"Dharwad","Dharwad",2018,3,"SolarLight",232765,34,125,4,500,"2018-03-01",.657087,328.5435,2.628348
"Dharwad","Dharwad",2014,12,"SolarLight",232765,34,526,1,526,"2014-12-01",.657087,345.6277,.657087
"Dharwad","Dharwad",2016,11,"SolarLight",232765,34,248,6.833333,1694.667,"2016-11-01",.657087,1113.543,4.490094
"Dharwad","Dharwad",2015,5,"CookStove",232765,34,301.5,34,10251,"2015-05-01",.657087,6735.798,22.34096
"Dharwad","Dharwad",2018,5,"SolarLight",232765,34,360.75,2.75,992.0625,"2018-05-01",.657087,651.8713,1.806989
"Dharwad","Dharwad",2018,6,"SolarLight",232765,34,100,2.333333,233.3333,"2018-06-01",.657087,153.3203,1.533203
"Dharwad","Dharwad",2016,3,"SolarLight",232765,34,334.5,1,334.5,"2016-03-01",.657087,219.7956,.657087
"Dharwad","Dharwad",2018,3,"CookStove",232765,34,133,507,67431,"2018-03-01",.657087,44308.03,333.1431
"Dharwad","Dharwad",2018,7,"SolarLight",232765,34,100.75,1.75,176.3125,"2018-07-01",.657087,115.8526,1.149902
"Dharwad","Dharwad",2018,7,"CookStove",232765,34,396,101,39996,"2018-07-01",.657087,26280.85,66.36578
"Dharwad","Dharwad",2015,2,"SolarLight",232765,34,118,3,354,"2015-02-01",.657087,232.6088,1.971261
"Dharwad","Dharwad",2014,12,"GobarGasPlant",232765,34,118,1,118,"2014-12-01",.657087,77.53626,.657087
"Dharwad","Dharwad",2014,11,"GobarGasPlant",232765,34,321.2,1.8,578.16,"2014-11-01",.657087,379.9014,1.182757
"Dharwad","Dharwad",2014,8,"CookStove",232765,34,301.5,11,3316.5,"2014-08-01",.657087,2179.229,7.227956
"Dharwad","Dharwad",2017,2,"SolarLight",232765,34,268.75,2,537.5,"2017-02-01",.657087,353.1842,1.314174
"Dharwad","Dharwad",2017,8,"SolarLight",232765,34,273.1667,5,1365.833,"2017-08-01",.657087,897.4713,3.285435
"Dharwad","Dharwad",2017,6,"SolarLight",232765,34,118,2,236,"2017-06-01",.657087,155.0725,1.314174
"Dharwad","Dharwad",2017,10,"SolarLight",232765,34,234.6667,1,234.6667,"2017-10-01",.657087,154.1964,.657087
"Dharwad","Dharwad",2014,8,"GobarGasPlant",232765,34,118,3,354,"2014-08-01",.657087,232.6088,1.971261
"Dharwad","Dharwad",2018,2,"SolarLight",232765,34,202.25,1.5,303.375,"2018-02-01",.657087,199.3438,.9856304
"Dharwad","Dharwad",2017,4,"SolarLight",232765,34,118,1,118,"2017-04-01",.657087,77.53626,.657087
"Dharwad","Dharwad",2017,1,"SolarLight",232765,34,239.2857,4,957.1429,"2017-01-01",.657087,628.9261,2.628348
"Doddaballapur","BangaloreRural",2017,12,"CookStove",198546,15.7,264.5,50,13225,"2017-12-01",.560488,7412.454,28.0244
"Doddaballapur","BangaloreRural",2014,11,"SolarLight",198546,15.7,254,1.5,381,"2014-11-01",.560488,213.5459,.840732
"Doddaballapur","BangaloreRural",2016,11,"SolarLight",198546,15.7,934,2,1868,"2016-11-01",.560488,1046.992,1.120976
"Doddaballapur","BangaloreRural",2017,2,"CookStove",198546,15.7,278.5,35.5,9886.75,"2017-02-01",.560488,5541.404,19.89732
"Doddaballapur","BangaloreRural",2017,1,"SolarLight",198546,15.7,150.25,1,150.25,"2017-01-01",.560488,84.21332,.560488
"Doddaballapur","BangaloreRural",2014,11,"GobarGasPlant",198546,15.7,216,2,432,"2014-11-01",.560488,242.1308,1.120976
"Doddaballapur","BangaloreRural",2017,3,"CookStove",198546,15.7,230,33,7590,"2017-03-01",.560488,4254.104,18.4961
"Doddaballapur","BangaloreRural",2015,3,"SolarLight",198546,15.7,238.75,1.75,417.8125,"2015-03-01",.560488,234.1789,.980854
"Doddaballapur","BangaloreRural",2016,12,"CookStove",198546,15.7,278.5,13.5,3759.75,"2016-12-01",.560488,2107.295,7.566588
"Doddaballapur","BangaloreRural",2018,1,"CookStove",198546,15.7,264.5,65,17192.5,"2018-01-01",.560488,9636.189,36.43172
"Doddaballapur","BangaloreRural",2017,1,"CookStove",198546,15.7,278.5,35,9747.5,"2017-01-01",.560488,5463.356,19.61708
"Doddaballapur","BangaloreRural",2018,3,"CookStove",198546,15.7,264.5,17.5,4628.75,"2018-03-01",.560488,2594.359,9.808539
"Doddaballapur","BangaloreRural",2018,4,"CookStove",198546,15.7,264.5,42,11109,"2018-04-01",.560488,6226.461,23.54049
"Doddaballapur","BangaloreRural",2018,5,"CookStove",198546,15.7,396,46,18216,"2018-05-01",.560488,10209.85,25.78245
"Doddaballapur","BangaloreRural",2018,9,"GreenwayJumboStoveGJS1",198546,15.7,396,219,86724,"2018-09-01",.560488,48607.76,122.7469
"Doddaballapur","BangaloreRural",2014,10,"CookStove",198546,15.7,301.5,59,17788.5,"2014-10-01",.560488,9970.24,33.06879
"Doddaballapur","BangaloreRural",2015,2,"SolarLight",198546,15.7,294,1.4,411.6,"2015-02-01",.560488,230.6969,.7846832
"Doddaballapur","BangaloreRural",2015,1,"SolarLight",198546,15.7,300.5,2,601,"2015-01-01",.560488,336.8533,1.120976
"Doddaballapur","BangaloreRural",2015,4,"SolarLight",198546,15.7,10,1,10,"2015-04-01",.560488,5.60488,.560488
"Doddaballapur","BangaloreRural",2018,6,"SolarLight",198546,15.7,909,1,909,"2018-06-01",.560488,509.4836,.560488
"Doddaballapur","BangaloreRural",2016,9,"SolarLight",198546,15.7,272,1,272,"2016-09-01",.560488,152.4527,.560488
"Doddaballapur","BangaloreRural",2014,12,"CookStove",198546,15.7,161,46,7406,"2014-12-01",.560488,4150.974,25.78245
"Doddaballapur","BangaloreRural",2018,7,"CookStove",198546,15.7,396,87,34452,"2018-07-01",.560488,19309.93,48.76245
"Doddaballapur","BangaloreRural",2017,5,"CookStove",198546,15.7,264.5,20,5290,"2017-05-01",.560488,2964.981,11.20976
"Doddaballapur","BangaloreRural",2017,10,"CookStove",198546,15.7,396,8,3168,"2017-10-01",.560488,1775.626,4.483904
"Doddaballapur","BangaloreRural",2015,3,"GobarGasPlant",198546,15.7,216,1,216,"2015-03-01",.560488,121.0654,.560488
"Doddaballapur","BangaloreRural",2017,6,"CookStove",198546,15.7,264.5,32.5,8596.25,"2017-06-01",.560488,4818.095,18.21586
"Doddaballapur","BangaloreRural",2017,11,"CookStove",198546,15.7,264.5,12.5,3306.25,"2017-11-01",.560488,1853.113,7.0061
"Doddaballapur","BangaloreRural",2018,2,"CookStove",198546,15.7,264.5,31,8199.5,"2018-02-01",.560488,4595.721,17.37513
"Doddaballapur","BangaloreRural",2018,6,"CookStove",198546,15.7,396,45,17820,"2018-06-01",.560488,9987.896,25.22196
"Doddaballapur","BangaloreRural",2016,6,"SolarLight",198546,15.7,270,1,270,"2016-06-01",.560488,151.3318,.560488
"Doddaballapur","BangaloreRural",2017,7,"CookStove",198546,15.7,264.5,17,4496.5,"2017-07-01",.560488,2520.234,9.528296
"Doddaballapur","BangaloreRural",2018,8,"CookStove",198546,15.7,396,6,2376,"2018-08-01",.560488,1331.719,3.362928
"Doddaballapur","BangaloreRural",2016,10,"CookStove",198546,15.7,161,18,2898,"2016-10-01",.560488,1624.294,10.08878
"Doddaballapur","BangaloreRural",2014,11,"CookStove",198546,15.7,161,7,1127,"2014-11-01",.560488,631.6699,3.923416
"Doddaballapur","BangaloreRural",2014,9,"GobarGasPlant",198546,15.7,10,1,10,"2014-09-01",.560488,5.60488,.560488
"Doddaballapur","BangaloreRural",2017,9,"CookStove",198546,15.7,264.5,8,2116,"2017-09-01",.560488,1185.993,4.483904
"Doddaballapur","BangaloreRural",2018,2,"SolarLight",198546,15.7,909,1,909,"2018-02-01",.560488,509.4836,.560488
"Doddaballapur","BangaloreRural",2017,8,"CookStove",198546,15.7,264.5,18.5,4893.25,"2017-08-01",.560488,2742.608,10.36903
"Doddaballapur","BangaloreRural",2015,10,"SolarLight",198546,15.7,670.5,1.5,1005.75,"2015-10-01",.560488,563.7108,.840732
"Gadaga","Gadag",2018,7,"SolarLight",175883,21.8,270,1,270,"2018-07-01",.4965112,134.058,.4965112
"Gadaga","Gadag",2018,9,"GreenwayJumboStoveGJS1",175883,21.8,396,52,20592,"2018-09-01",.4965112,10224.16,25.81858
"Gadaga","Gadag",2018,8,"GreenwayJumboStoveGJS1",175883,21.8,396,4,1584,"2018-08-01",.4965112,786.4737,1.986045
"Gadaga","Gadag",2018,7,"CookStove",175883,21.8,396,42,16632,"2018-07-01",.4965112,8257.974,20.85347
"Gadaga","Gadag",2015,2,"GobarGasPlant",175883,21.8,240,1,240,"2015-02-01",.4965112,119.1627,.4965112
"Gadaga","Gadag",2018,6,"CookStove",175883,21.8,396,12,4752,"2018-06-01",.4965112,2359.421,5.958134
"Gadaga","Gadag",2018,8,"SolarLight",175883,21.8,270,1.5,405,"2018-08-01",.4965112,201.087,.7447668
"Gadaga","Gadag",2018,9,"SolarLight",175883,21.8,50,1,50,"2018-09-01",.4965112,24.82556,.4965112
"Gadaga","Gadag",2018,8,"CookStove",175883,21.8,396,84,33264,"2018-08-01",.4965112,16515.95,41.70694
"Gadaga","Gadag",2015,8,"SolarLight",175883,21.8,689,1,689,"2015-08-01",.4965112,342.0962,.4965112
"Gangavathi","Koppal",2016,3,"SolarLight",345263,40.7,422,1.5,633,"2016-03-01",.9746646,616.9627,1.461997
"Gangavathi","Koppal",2016,1,"CookStove",345263,40.7,161,722,116242,"2016-01-01",.9746646,113297,703.7078
"Gangavathi","Koppal",2018,2,"CookStove",345263,40.7,264.5,11,2909.5,"2018-02-01",.9746646,2835.787,10.72131
"Gangavathi","Koppal",2014,12,"CookStove",345263,40.7,301.5,4,1206,"2014-12-01",.9746646,1175.446,3.898659
"Gangavathi","Koppal",2014,8,"CookStove",345263,40.7,161,25,4025,"2014-08-01",.9746646,3923.025,24.36662
"Gangavathi","Koppal",2017,5,"SolarLight",345263,40.7,118,2,236,"2017-05-01",.9746646,230.0208,1.949329
"Gangavathi","Koppal",2014,11,"CookStove",345263,40.7,385.5,4.5,1734.75,"2014-11-01",.9746646,1690.799,4.385991
"Gangavathi","Koppal",2014,10,"CookStove",345263,40.7,161,9,1449,"2014-10-01",.9746646,1412.289,8.771981
"Gangavathi","Koppal",2017,2,"CookStove",345263,40.7,161,3,483,"2017-02-01",.9746646,470.763,2.923994
"Gangavathi","Koppal",2014,3,"GobarGasPlant",345263,40.7,498,1,498,"2014-03-01",.9746646,485.383,.9746646
"Gangavathi","Koppal",2014,6,"CookStove",345263,40.7,124.5,4,498,"2014-06-01",.9746646,485.383,3.898659
"Gangavathi","Koppal",2014,8,"GobarGasPlant",345263,40.7,10,4,40,"2014-08-01",.9746646,38.98658,3.898659
"Gangavathi","Koppal",2017,12,"SolarLight",345263,40.7,394.5,1,394.5,"2017-12-01",.9746646,384.5052,.9746646
"Gangavathi","Koppal",2015,11,"SolarLight",345263,40.7,422,1.5,633,"2015-11-01",.9746646,616.9627,1.461997
"Gangavathi","Koppal",2017,2,"SolarLight",345263,40.7,240,1,240,"2017-02-01",.9746646,233.9195,.9746646
"Gangavathi","Koppal",2017,10,"SolarLight",345263,40.7,421.5,1,421.5,"2017-10-01",.9746646,410.8211,.9746646
"Gangavathi","Koppal",2015,1,"GobarGasPlant",345263,40.7,10,2,20,"2015-01-01",.9746646,19.49329,1.949329
"Gangavathi","Koppal",2017,1,"CookStove",345263,40.7,161,2,322,"2017-01-01",.9746646,313.842,1.949329
"Gangavathi","Koppal",2018,2,"SolarLight",345263,40.7,412.3333,1,412.3333,"2018-02-01",.9746646,401.8867,.9746646
"Gangavathi","Koppal",2014,9,"CookStove",345263,40.7,444.25,7,3109.75,"2014-09-01",.9746646,3030.963,6.822652
"Gangavathi","Koppal",2015,2,"SolarLight",345263,40.7,314.5,1,314.5,"2015-02-01",.9746646,306.532,.9746646
"Gangavathi","Koppal",2016,2,"CookStove",345263,40.7,161,31,4991,"2016-02-01",.9746646,4864.551,30.2146
"Gangavathi","Koppal",2016,3,"CookStove",345263,40.7,161,3,483,"2016-03-01",.9746646,470.763,2.923994
"Gangavathi","Koppal",2017,3,"CookStove",345263,40.7,396,1,396,"2017-03-01",.9746646,385.9672,.9746646
"Gangavathi","Koppal",2016,11,"SolarLight",345263,40.7,337,1.666667,561.6667,"2016-11-01",.9746646,547.4366,1.624441
"Gangavathi","Koppal",2016,11,"CookStove",345263,40.7,161,2,322,"2016-11-01",.9746646,313.842,1.949329
"Gangavathi","Koppal",2013,3,"GobarGasPlant",345263,40.7,10,2,20,"2013-03-01",.9746646,19.49329,1.949329
"Gangavathi","Koppal",2017,12,"CookStove",345263,40.7,133,1,133,"2017-12-01",.9746646,129.6304,.9746646
"Gangavathi","Koppal",2017,3,"SolarLight",345263,40.7,274,1,274,"2017-03-01",.9746646,267.0581,.9746646
"Gangavathi","Koppal",2014,9,"GobarGasPlant",345263,40.7,254,1,254,"2014-09-01",.9746646,247.5648,.9746646
"Gangavathi","Koppal",2015,7,"SolarLight",345263,40.7,10,1,10,"2015-07-01",.9746646,9.746646,.9746646
"Gangavathi","Koppal",2017,10,"CookStove",345263,40.7,161,7,1127,"2017-10-01",.9746646,1098.447,6.822652
"Gangavathi","Koppal",2014,11,"SolarLight",345263,40.7,249.3333,1.333333,332.4445,"2014-11-01",.9746646,324.0219,1.299553
"Gangavathi","Koppal",2015,4,"SolarLight",345263,40.7,240,1,240,"2015-04-01",.9746646,233.9195,.9746646
"Gangavathi","Koppal",2016,7,"SolarLight",345263,40.7,498,1,498,"2016-07-01",.9746646,485.383,.9746646
"Gangavathi","Koppal",2015,1,"SolarLight",345263,40.7,354.6667,1.333333,472.8889,"2015-01-01",.9746646,460.9081,1.299553
"Gangavathi","Koppal",2015,9,"SolarLight",345263,40.7,311.3333,4,1245.333,"2015-09-01",.9746646,1213.782,3.898659
"Gangavathi","Koppal",2015,1,"CookStove",345263,40.7,346.5,2.5,866.25,"2015-01-01",.9746646,844.3032,2.436661
"Gangavathi","Koppal",2018,1,"SolarLight",345263,40.7,175,1.25,218.75,"2018-01-01",.9746646,213.2079,1.218331
"Gangavathi","Koppal",2017,11,"CookStove",345263,40.7,161,1,161,"2017-11-01",.9746646,156.921,.9746646
"Gangavathi","Koppal",2018,6,"SolarLight",345263,40.7,88,1,88,"2018-06-01",.9746646,85.77048,.9746646
"Gangavathi","Koppal",2014,7,"CookStove",345263,40.7,378.3333,4,1513.333,"2014-07-01",.9746646,1474.992,3.898659
"Gangavathi","Koppal",2016,12,"CookStove",345263,40.7,326,17,5542,"2016-12-01",.9746646,5401.591,16.5693
"Gangavathi","Koppal",2017,9,"SolarLight",345263,40.7,94,1,94,"2017-09-01",.9746646,91.61848,.9746646
"Gangavathi","Koppal",2014,6,"SolarLight",345263,40.7,222.3333,2.333333,518.7778,"2014-06-01",.9746646,505.6343,2.274217
"Gangavathi","Koppal",2014,5,"GobarGasPlant",345263,40.7,619,1,619,"2014-05-01",.9746646,603.3174,.9746646
"Gangavathi","Koppal",2012,12,"GobarGasPlant",345263,40.7,10,2,20,"2012-12-01",.9746646,19.49329,1.949329
"Gangavathi","Koppal",2015,12,"SolarLight",345263,40.7,293,1,293,"2015-12-01",.9746646,285.5767,.9746646
"Gangavathi","Koppal",2017,7,"SolarLight",345263,40.7,421.5,1.5,632.25,"2017-07-01",.9746646,616.2317,1.461997
"Gangavathi","Koppal",2016,2,"SolarLight",345263,40.7,293,1.5,439.5,"2016-02-01",.9746646,428.3651,1.461997
"Gangavathi","Koppal",2015,8,"SolarLight",345263,40.7,266,1.6,425.6,"2015-08-01",.9746646,414.8173,1.559463
"Gangavathi","Koppal",2016,6,"SolarLight",345263,40.7,498,1,498,"2016-06-01",.9746646,485.383,.9746646
"Gangavathi","Koppal",2017,7,"CookStove",345263,40.7,278.5,3,835.5,"2017-07-01",.9746646,814.3323,2.923994
"Gangavathi","Koppal",2018,1,"CookStove",345263,40.7,133,24,3192,"2018-01-01",.9746646,3111.129,23.39195
"Gangavathi","Koppal",2014,7,"GobarGasPlant",345263,40.7,125,1.5,187.5,"2014-07-01",.9746646,182.7496,1.461997
"Gangavathi","Koppal",2015,3,"SolarLight",345263,40.7,254.5,2,509,"2015-03-01",.9746646,496.1043,1.949329
"Gangavathi","Koppal",2017,9,"CookStove",345263,40.7,161,2,322,"2017-09-01",.9746646,313.842,1.949329
"Gangavathi","Koppal",2018,3,"SolarLight",345263,40.7,356.8,1.8,642.24,"2018-03-01",.9746646,625.9686,1.754396
"Gangavathi","Koppal",2017,8,"CookStove",345263,40.7,278.5,55.5,15456.75,"2017-08-01",.9746646,15065.15,54.09389
"Gangavathi","Koppal",2016,12,"SolarLight",345263,40.7,247.5,4,990,"2016-12-01",.9746646,964.918,3.898659
"Gangavathi","Koppal",2016,4,"SolarLight",345263,40.7,558.5,2,1117,"2016-04-01",.9746646,1088.7,1.949329
"Gangavathi","Koppal",2014,8,"SolarLight",345263,40.7,422,1,422,"2014-08-01",.9746646,411.3085,.9746646
"Gangavathi","Koppal",2014,5,"SolarLight",345263,40.7,10,1,10,"2014-05-01",.9746646,9.746646,.9746646
"Gangavathi","Koppal",2018,3,"CookStove",345263,40.7,133,4,532,"2018-03-01",.9746646,518.5215,3.898659
"Gangavathi","Koppal",2016,1,"SolarLight",345263,40.7,369,3,1107,"2016-01-01",.9746646,1078.954,2.923994
"Gangavathi","Koppal",2012,11,"GobarGasPlant",345263,40.7,349,5,1745,"2012-11-01",.9746646,1700.79,4.873323
"Gangavathi","Koppal",2014,12,"SolarLight",345263,40.7,378,1,378,"2014-12-01",.9746646,368.4232,.9746646
"Gangavathi","Koppal",2017,4,"SolarLight",345263,40.7,533,1,533,"2017-04-01",.9746646,519.4962,.9746646
"Gangavathi","Koppal",2018,4,"SolarLight",345263,40.7,346,1,346,"2018-04-01",.9746646,337.2339,.9746646
"Gangavathi","Koppal",2017,1,"SolarLight",345263,40.7,378.6,1.4,530.04,"2017-01-01",.9746646,516.6112,1.36453
"Gangavathi","Koppal",2016,10,"SolarLight",345263,40.7,118,1,118,"2016-10-01",.9746646,115.0104,.9746646
"Gangavathi","Koppal",2016,8,"SolarLight",345263,40.7,689,1,689,"2016-08-01",.9746646,671.5439,.9746646
"Gangavathi","Koppal",2014,6,"GobarGasPlant",345263,40.7,10,1,10,"2014-06-01",.9746646,9.746646,.9746646
"Gangavathi","Koppal",2018,8,"SolarLight",345263,40.7,485,1,485,"2018-08-01",.9746646,472.7123,.9746646
"Gangavathi","Koppal",2017,4,"CookStove",345263,40.7,396,1,396,"2017-04-01",.9746646,385.9672,.9746646
"Gangavathi","Koppal",2014,10,"GobarGasPlant",345263,40.7,593,1.5,889.5,"2014-10-01",.9746646,866.9642,1.461997
"Gangavathi","Koppal",2017,8,"SolarLight",345263,40.7,241.5,1,241.5,"2017-08-01",.9746646,235.3815,.9746646
"Gangavathi","Koppal",2014,9,"SolarLight",345263,40.7,178,1,178,"2014-09-01",.9746646,173.4903,.9746646
"Gangavathi","Koppal",2015,10,"SolarLight",345263,40.7,284.6667,2,569.3333,"2015-10-01",.9746646,554.9091,1.949329
"Gauribidanur","Chikkaballapura",2018,8,"CookStove",243122,1.6,396,7,2772,"2018-08-01",.6863244,1902.491,4.804271
"Gauribidanur","Chikkaballapura",2017,11,"CookStove",243122,1.6,264.5,52.5,13886.25,"2017-11-01",.6863244,9530.472,36.03203
"Gauribidanur","Chikkaballapura",2017,7,"CookStove",243122,1.6,264.5,43.5,11505.75,"2017-07-01",.6863244,7896.677,29.85511
"Gauribidanur","Chikkaballapura",2018,2,"CookStove",243122,1.6,133,11,1463,"2018-02-01",.6863244,1004.093,7.549568
"Gauribidanur","Chikkaballapura",2017,8,"SolarLight",243122,1.6,940,2,1880,"2017-08-01",.6863244,1290.29,1.372649
"Gauribidanur","Chikkaballapura",2017,10,"SolarLight",243122,1.6,940,1,940,"2017-10-01",.6863244,645.1449,.6863244
"Gauribidanur","Chikkaballapura",2017,8,"CookStove",243122,1.6,133,4,532,"2017-08-01",.6863244,365.1246,2.745297
"Gauribidanur","Chikkaballapura",2018,2,"SolarLight",243122,1.6,50,3,150,"2018-02-01",.6863244,102.9487,2.058973
"Gauribidanur","Chikkaballapura",2018,1,"SolarLight",243122,1.6,202,1,202,"2018-01-01",.6863244,138.6375,.6863244
"Gauribidanur","Chikkaballapura",2017,4,"CookStove",243122,1.6,264.5,7.5,1983.75,"2017-04-01",.6863244,1361.496,5.147433
"Gauribidanur","Chikkaballapura",2017,6,"SolarLight",243122,1.6,506.5,1.5,759.75,"2017-06-01",.6863244,521.4349,1.029487
