"","Region","Year","specialization","seats"
"238","Central",2004,"digestion",0
"239","Central",2005,"digestion",0
"240","Central",2006,"digestion",0
"241","Central",2007,"digestion",0
"242","Central",2008,"digestion",0
"243","Central",2009,"digestion",0
"244","Central",2010,"digestion",0
"245","Central",2011,"digestion",1
"246","Central",2012,"digestion",1
"247","Central",2013,"digestion",1
"248","Central",2014,"digestion",1
"249","Central",2015,"digestion",1
"250","Central",2016,"digestion",1
"251","Central",2017,"digestion",1
"252","Central",2018,"digestion",2
"253","Central",1998,"education",0
"254","Central",1999,"education",0
"255","Central",2000,"education",0
"256","Central",2001,"education",0
"257","Central",2002,"education",0
"258","Central",2003,"education",0
"259","Central",2004,"education",0
"260","Central",2005,"education",0
"261","Central",2006,"education",0
"262","Central",2007,"education",0
"263","Central",2008,"education",0
"264","Central",2009,"education",0
"265","Central",2010,"education",0
"266","Central",2011,"education",0
"267","Central",2012,"education",0
"268","Central",2013,"education",0
"269","Central",2014,"education",0
"270","Central",2015,"education",0
"271","Central",2016,"education",0
"272","Central",2017,"education",0
"273","Central",2018,"education",0
"274","Central",1998,"elderly",0
"275","Central",1999,"elderly",0
"276","Central",2000,"elderly",0
"277","Central",2001,"elderly",0
"278","Central",2002,"elderly",0
"279","Central",2003,"elderly",0
"280","Central",2004,"elderly",0
"281","Central",2005,"elderly",0
"282","Central",2006,"elderly",0
"283","Central",2007,"elderly",0
"284","Central",2008,"elderly",0
"285","Central",2009,"elderly",0
"286","Central",2010,"elderly",0
"287","Central",2011,"elderly",0
"288","Central",2012,"elderly",0
"289","Central",2013,"elderly",0
"290","Central",2014,"elderly",0
"291","Central",2015,"elderly",0
"292","Central",2016,"elderly",0
"293","Central",2017,"elderly",0
"294","Central",2018,"elderly",0
"295","Central",1998,"eye",43
"296","Central",1999,"eye",43
"297","Central",2000,"eye",43
"298","Central",2001,"eye",43
"299","Central",2002,"eye",43
"300","Central",2003,"eye",43
"301","Central",2004,"eye",43
"302","Central",2005,"eye",43
"303","Central",2006,"eye",31
"304","Central",2007,"eye",31
"305","Central",2008,"eye",31
"306","Central",2009,"eye",31
"307","Central",2010,"eye",31
"308","Central",2011,"eye",33
"309","Central",2012,"eye",33
"310","Central",2013,"eye",35
"311","Central",2014,"eye",39
"312","Central",2015,"eye",39
"313","Central",2016,"eye",39
"314","Central",2017,"eye",42
"315","Central",2018,"eye",56
"316","Central",1998,"forensics",8
"317","Central",1999,"forensics",8
"318","Central",2000,"forensics",8
"319","Central",2001,"forensics",8
"320","Central",2002,"forensics",8
"321","Central",2003,"forensics",8
"322","Central",2004,"forensics",8
"323","Central",2005,"forensics",8
"324","Central",2006,"forensics",8
"325","Central",2007,"forensics",8
"326","Central",2008,"forensics",8
"327","Central",2009,"forensics",8
"328","Central",2010,"forensics",8
"329","Central",2011,"forensics",8
"330","Central",2012,"forensics",11
"331","Central",2013,"forensics",11
"332","Central",2014,"forensics",11
"333","Central",2015,"forensics",11
"334","Central",2016,"forensics",11
"335","Central",2017,"forensics",11
"336","Central",2018,"forensics",13
"337","Central",1998,"heart",0
"338","Central",1999,"heart",0
"339","Central",2000,"heart",0
"340","Central",2001,"heart",0
"341","Central",2002,"heart",0
"342","Central",2003,"heart",0
"343","Central",2004,"heart",0
"344","Central",2005,"heart",0
"345","Central",2006,"heart",0
"346","Central",2007,"heart",0
"347","Central",2008,"heart",0
"348","Central",2009,"heart",0
"349","Central",2010,"heart",0
"350","Central",2011,"heart",0
"351","Central",2012,"heart",0
"352","Central",2013,"heart",0
"353","Central",2014,"heart",0
"354","Central",2015,"heart",0
"355","Central",2016,"heart",0
"356","Central",2017,"heart",0
"357","Central",2018,"heart",0
"358","Central",1998,"hormones",0
"359","Central",1999,"hormones",0
"360","Central",2000,"hormones",0
"361","Central",2001,"hormones",0
"362","Central",2002,"hormones",0
"363","Central",2003,"hormones",0
"364","Central",2004,"hormones",0
"365","Central",2005,"hormones",0
"366","Central",2006,"hormones",0
"367","Central",2007,"hormones",0
"368","Central",2008,"hormones",0
"369","Central",2009,"hormones",0
"370","Central",2010,"hormones",0
"371","Central",2011,"hormones",0
"372","Central",2012,"hormones",0
"373","Central",2013,"hormones",0
